
-----------------------------------
Cluster 1:
  - Hash: 3885589a3c94d0475a6d994e4644e682f4cff93f8b4d65f37508ffe706861363, Malware Name: Maze
  - Hash: a6bf25b3bfc2ab57ad8c1c7e130379a3a4dc0a97b6b3da04e27db79ed361e697, Malware Name: Maze
  - Hash: d65fa9ed1220cfa12d22239ca62a4b5978bb613090fc1dcb0cccdf191151d125, Malware Name: Maze
  - Hash: d65fa9ed1220cfa12d22239ca62a4b5978bb613090fc1dcb0cccdf191151d125, Malware Name: Maze
  - Hash: 4c051e7271b06cf26f59d2076be6e543595ae8599d7c62b55dbfbc438d6e4fe8, Malware Name: Maze
  - Hash: 4c051e7271b06cf26f59d2076be6e543595ae8599d7c62b55dbfbc438d6e4fe8, Malware Name: Maze
  - Hash: 718810b8eeb682fc70df602d952c0c83e028c5a5bfa44c506756980caf2edebb, Malware Name: AvosLocker
  - Hash: f810deb1ba171cea5b595c6d3f816127fb182833f7a08a98de93226d4f6a336f, Malware Name: AvosLocker
  - Hash: f810deb1ba171cea5b595c6d3f816127fb182833f7a08a98de93226d4f6a336f, Malware Name: AvosLocker
  - Hash: fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f, Malware Name: AvosLocker
  - Hash: fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f, Malware Name: AvosLocker
  - Hash: fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f, Malware Name: AvosLocker
  - Hash: 0cd7b6ea8857ce827180342a1c955e79c3336a6cf2000244e5cfd4279c5fc1b6, Malware Name: AvosLocker
  - Hash: ee06c557f1acd5c4948b1df0413e49f3885f8ac96185a9d986b91a1231444541, Malware Name: Egregor
  - Hash: ee06c557f1acd5c4948b1df0413e49f3885f8ac96185a9d986b91a1231444541, Malware Name: Egregor
  - Hash: 967422de1acc14deb7e7ce803d86aff44e2652bfcd550e3a34c2e37abc883dee, Malware Name: Egregor
  - Hash: 967422de1acc14deb7e7ce803d86aff44e2652bfcd550e3a34c2e37abc883dee, Malware Name: Egregor
